timePeriod/start/__text,readingQuality/__text,value/__text
1663837200,ACTUAL,0.06
1663839000,ACTUAL,0.06
1663840800,ACTUAL,0.13
1663842600,ACTUAL,0.17
1663844400,ACTUAL,0.16
1663846200,ACTUAL,0.21
1663848000,ACTUAL,0.78
1663849800,ACTUAL,0.54
1663851600,ACTUAL,0.41
1663853400,ACTUAL,0.36
1663855200,ACTUAL,0.23
1663857000,ACTUAL,0.19
1663858800,ACTUAL,0.2
1663860600,ACTUAL,1.06
1663862400,ACTUAL,0.28
1663864200,ACTUAL,1.71
1663866000,ACTUAL,1.17
1663867800,ACTUAL,0.99
1663869600,ACTUAL,0.89
1663871400,ACTUAL,0.77
1663873200,ACTUAL,0.74
1663875000,ACTUAL,0.33
1663876800,ACTUAL,0.08
1663878600,ACTUAL,0.11
1663880400,ACTUAL,0.56
1663882200,ACTUAL,1.03
1663884000,ACTUAL,0.59
1663885800,ACTUAL,0.3
1663887600,ACTUAL,1.25
1663889400,ACTUAL,1.2
1663891200,ACTUAL,0.32
1663893000,ACTUAL,0.1
1663894800,ACTUAL,0.38
1663896600,ACTUAL,1.09
1663898400,ACTUAL,0.22
1663900200,ACTUAL,0.14
1663902000,ACTUAL,0.07
1663903800,ACTUAL,0.08
1663905600,ACTUAL,0.11
1663907400,ACTUAL,0.1
1663909200,ACTUAL,0.06
1663911000,ACTUAL,0.14
1663912800,ACTUAL,0.54
1663914600,ACTUAL,0.07
1663916400,ACTUAL,0.06
1663918200,ACTUAL,0.11
1663920000,ACTUAL,0.08
1663921800,ACTUAL,0.06
1663923600,ACTUAL,0.09
1663925400,ACTUAL,0.1
1663927200,ACTUAL,0.06
1663929000,ACTUAL,0.13
1663930800,ACTUAL,0.15
1663932600,ACTUAL,0.08
1663934400,ACTUAL,0.77
1663936200,ACTUAL,0.09
1663938000,ACTUAL,0.07
1663939800,ACTUAL,0.04
1663941600,ACTUAL,0.07
1663943400,ACTUAL,0.08
1663945200,ACTUAL,0.04
1663947000,ACTUAL,0.06
1663948800,ACTUAL,0.08
1663950600,ACTUAL,0.04
1663952400,ACTUAL,0.05
1663954200,ACTUAL,0.08
1663956000,ACTUAL,0.04
1663957800,ACTUAL,0.04
1663959600,ACTUAL,0.08
1663961400,ACTUAL,0.05
1663963200,ACTUAL,0.04
1663965000,ACTUAL,0.08
1663966800,ACTUAL,0.06
1663968600,ACTUAL,0.04
1663970400,ACTUAL,0.08
1663972200,ACTUAL,0.07
1663974000,ACTUAL,0.04
1663975800,ACTUAL,0.07
1663977600,ACTUAL,0.08
1663979400,ACTUAL,0.04
1663981200,ACTUAL,0.06
1663983000,ACTUAL,0.1
1663984800,ACTUAL,1.16
1663986600,ACTUAL,0.17
1663988400,ACTUAL,0.14
1663990200,ACTUAL,0.09
1663992000,ACTUAL,0.06
1663993800,ACTUAL,0.1
1663995600,ACTUAL,0.1
1663997400,ACTUAL,0.06
1663999200,ACTUAL,0.07
1664001000,ACTUAL,0.1
